Make,Model,Injury.Severity,Aircraft.damage,Total.Serious.Injuries,Total.Fatal.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Investigation.Type,Engine.Type
Piper,PA24-180,Fatal(4),Destroyed,0.0,4.0,0.0,UNK,Unknown,Accident,Reciprocating
Cessna,180,Fatal(4),Destroyed,0.0,4.0,0.0,IMC,Unknown,Accident,Reciprocating
Cessna,140,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Cessna,401B,Non-Fatal,Substantial,0.0,0.0,2.0,IMC,Landing,Accident,Reciprocating
Piper,PA-28-161,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Approach,Accident,Reciprocating
Beech,V35B,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Bellanca,17-30A,Non-Fatal,Destroyed,0.0,0.0,0.0,IMC,Cruise,Accident,Reciprocating
Cessna,R172K,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Takeoff,Accident,Reciprocating
Beech,19,Fatal(2),Destroyed,0.0,2.0,0.0,IMC,Cruise,Accident,Reciprocating
Cessna,180,Fatal(3),Destroyed,0.0,3.0,0.0,VMC,Unknown,Accident,Reciprocating
Cessna,172,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Taxi,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Cessna,150L,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Approach,Accident,Reciprocating
Bell,206L-1,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Approach,Accident,Turbo Shaft
Piper,PA-24-180,Incident,Minor,0.0,0.0,1.0,VMC,Approach,Incident,Reciprocating
Grumman,AA-5B,Fatal(2),Destroyed,1.0,2.0,0.0,IMC,Descent,Accident,Reciprocating
Cessna,414A,Fatal(8),Destroyed,0.0,8.0,0.0,IMC,Approach,Accident,Reciprocating
Cessna,210L,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Descent,Accident,Reciprocating
Bellanca,7GCBC,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Maneuvering,Accident,Reciprocating
Cessna,182,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Approach,Accident,Reciprocating
Piper,PA-28-161,Fatal(4),Destroyed,0.0,4.0,0.0,VMC,Cruise,Accident,Reciprocating
Piper,PA-34-200T,Fatal(2),Destroyed,0.0,2.0,0.0,VMC,Cruise,Accident,Reciprocating
Cessna,T337G,Fatal(2),Destroyed,2.0,2.0,0.0,IMC,Cruise,Accident,Reciprocating
Piper,PA-28R-200,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Cruise,Accident,Reciprocating
Cessna,206,Fatal(1),Destroyed,0.0,1.0,0.0,VMC,Taxi,Accident,Reciprocating
Piper,PA-22,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Cruise,Accident,Reciprocating
Piper,PA-31,Fatal(2),Destroyed,0.0,2.0,0.0,VMC,Approach,Accident,Reciprocating
Piper,PA-24-250,Non-Fatal,Substantial,1.0,0.0,1.0,VMC,Descent,Accident,Reciprocating
Piper,PA-28R-200,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Cruise,Accident,Reciprocating
Cessna,TR182,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Taxi,Accident,Reciprocating
Cessna,A185F,Non-Fatal,Substantial,2.0,0.0,0.0,VMC,Takeoff,Accident,Reciprocating
Cessna,340,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Approach,Accident,Reciprocating
Beech,35,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Climb,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Approach,Accident,Reciprocating
Mooney,M-20J,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Boeing,A75,Non-Fatal,Substantial,1.0,0.0,1.0,IMC,Cruise,Accident,Reciprocating
Cessna,210,Fatal(2),Destroyed,0.0,2.0,0.0,VMC,Cruise,Accident,Reciprocating
Beech,V35,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Approach,Accident,Reciprocating
Cessna,172M,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Approach,Accident,Reciprocating
Piper,PA-28-140,Fatal(1),Destroyed,1.0,1.0,0.0,VMC,Approach,Accident,Reciprocating
Cessna,TU206G,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Cruise,Accident,Reciprocating
Piper,PA-24-250,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Cessna,172N,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,P210N,Non-Fatal,Substantial,1.0,0.0,3.0,VMC,Landing,Accident,Reciprocating
Cessna,172,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Approach,Accident,Reciprocating
Piper,PA-34,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Taxi,Accident,Reciprocating
Cessna,305 (L-19),Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,182A,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Approach,Accident,Reciprocating
Piper,PA-23-250,Non-Fatal,Destroyed,2.0,0.0,0.0,UNK,Approach,Accident,Reciprocating
Cessna,172N,Non-Fatal,Destroyed,0.0,0.0,4.0,VMC,Landing,Accident,Reciprocating
Piper,23-250,Non-Fatal,Destroyed,0.0,0.0,2.0,IMC,Takeoff,Accident,Reciprocating
Mooney,M20G,Fatal(1),Destroyed,1.0,1.0,0.0,VMC,Cruise,Accident,Reciprocating
Cessna,TU206F,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Landing,Accident,Reciprocating
Cessna,U206,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Cruise,Accident,Reciprocating
Piper,PA-28-140,Non-Fatal,Destroyed,1.0,0.0,0.0,VMC,Cruise,Accident,Reciprocating
Cessna,210N,Fatal(4),Destroyed,1.0,4.0,0.0,IMC,Takeoff,Accident,Reciprocating
Cessna,180,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Cessna,310L,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,414,Non-Fatal,Destroyed,0.0,0.0,0.0,UNK,Descent,Accident,Reciprocating
Beech,P35,Non-Fatal,Substantial,1.0,0.0,1.0,IMC,Descent,Accident,Reciprocating
Grumman,AA5B,Non-Fatal,Destroyed,0.0,0.0,1.0,VMC,Descent,Accident,Reciprocating
Boeing,737-222,Fatal(78),Destroyed,6.0,78.0,0.0,IMC,Takeoff,Accident,Turbo Fan
Piper,PA-28R-201T,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Cruise,Accident,Reciprocating
Beech,A23-24,Non-Fatal,Substantial,0.0,0.0,4.0,VMC,Takeoff,Accident,Reciprocating
Piper,PA-31-350,Non-Fatal,Substantial,0.0,0.0,2.0,IMC,Approach,Accident,Reciprocating
Cessna,T210N,Fatal(3),Destroyed,0.0,3.0,0.0,VMC,Climb,Accident,Reciprocating
Cessna,172,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Hughes,269C,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Taxi,Accident,Reciprocating
Cessna,140,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Beech,C-45H,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,150M,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Go-around,Accident,Reciprocating
Cessna,150M,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Takeoff,Accident,Reciprocating
Cessna,182P,Non-Fatal,Destroyed,0.0,0.0,0.0,VMC,Other,Accident,Reciprocating
Piper,PA-31,Fatal(1),Destroyed,0.0,1.0,0.0,VMC,Approach,Accident,Reciprocating
Piper,PA-31T,Non-Fatal,Destroyed,0.0,0.0,0.0,VMC,Maneuvering,Accident,Turbo Prop
Beech,F50,Fatal(2),Destroyed,0.0,2.0,0.0,VMC,Takeoff,Accident,Reciprocating
Cessna,150,Non-Fatal,Destroyed,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Cessna,180E,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Maneuvering,Accident,Reciprocating
Cessna,170B,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Bell,206B,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Maneuvering,Accident,Turbo Shaft
Beech,C23,Non-Fatal,Destroyed,2.0,0.0,0.0,VMC,Descent,Accident,Reciprocating
Cessna,172M,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Cruise,Accident,Reciprocating
Piper,PA-28-180,Fatal(3),Destroyed,0.0,3.0,0.0,IMC,Cruise,Accident,Reciprocating
Cessna,180K,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Cessna,210L,Fatal(4),Substantial,0.0,4.0,0.0,IMC,Approach,Accident,Reciprocating
Mooney,M20F,Fatal(1),Destroyed,0.0,1.0,0.0,VMC,Takeoff,Accident,Reciprocating
Beech,G35,Fatal(2),Destroyed,0.0,2.0,0.0,IMC,Maneuvering,Accident,Reciprocating
Cessna,177B,Fatal(1),Destroyed,2.0,1.0,0.0,UNK,Cruise,Accident,Reciprocating
Grumman,AA5A,Fatal(3),Destroyed,0.0,3.0,0.0,IMC,Approach,Accident,Reciprocating
Piper,AEROSTAR 601P,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Cruise,Accident,Reciprocating
Cessna,182P,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Cruise,Accident,Reciprocating
Cessna,177RG,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Climb,Accident,Reciprocating
Cessna,182E,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,150H,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Approach,Accident,Reciprocating
Cessna,340A,Non-Fatal,Substantial,0.0,0.0,2.0,UNK,Cruise,Accident,Reciprocating
Piper,PA-38-112,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Piper,PA-32,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Piper,PA-31-350,Incident,Minor,0.0,0.0,2.0,VMC,Takeoff,Incident,Reciprocating
Beech,58,Fatal(2),Destroyed,0.0,2.0,0.0,IMC,Cruise,Accident,Reciprocating
Cessna,182N,Fatal(3),Destroyed,0.0,3.0,0.0,IMC,Descent,Accident,Reciprocating
Piper,PA-23-250,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Approach,Accident,Reciprocating
Cessna,210,Fatal(1),Substantial,0.0,1.0,1.0,VMC,Approach,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Hughes,269C,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,P210N,Fatal(4),Destroyed,0.0,4.0,0.0,IMC,Cruise,Accident,Reciprocating
Cessna,402A,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Approach,Accident,Reciprocating
Piper,PA-23-250,Non-Fatal,Destroyed,1.0,0.0,0.0,IMC,Maneuvering,Accident,Reciprocating
Piper,PA-28-235,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Cruise,Accident,Reciprocating
Grumman,AA-1,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Takeoff,Accident,Reciprocating
Piper,PA-32,Non-Fatal,Destroyed,1.0,0.0,0.0,VMC,Approach,Accident,Reciprocating
Cessna,207,Non-Fatal,Destroyed,0.0,0.0,0.0,VMC,Landing,Accident,Reciprocating
Mooney,M-20,Non-Fatal,Substantial,0.0,0.0,4.0,VMC,Takeoff,Accident,Reciprocating
Cessna,172M,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,172,Fatal(1),Destroyed,1.0,1.0,0.0,IMC,Approach,Accident,Reciprocating
Mooney,M20C,Fatal(2),Destroyed,0.0,2.0,0.0,VMC,Unknown,Accident,Reciprocating
Grumman,G-164A,Non-Fatal,Destroyed,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Beech,A23A,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Cruise,Accident,Reciprocating
Piper,PA-32-300,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,150M,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Cruise,Accident,Reciprocating
Piper,PA-34-200T,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Approach,Accident,Reciprocating
Piper,PA-28-235,Fatal(2),Substantial,0.0,2.0,0.0,VMC,Cruise,Accident,Reciprocating
Cessna,150H,Non-Fatal,Substantial,1.0,0.0,0.0,VMC,Landing,Accident,Reciprocating
Bell,47G-2,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Maneuvering,Accident,Reciprocating
Piper,PA-38-112,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Go-around,Accident,Reciprocating
Cessna,172,Non-Fatal,Substantial,0.0,0.0,0.0,UNK,Approach,Accident,Reciprocating
Cessna,172,Non-Fatal,Substantial,0.0,0.0,4.0,VMC,Landing,Accident,Reciprocating
Cessna,172RG,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Standing,Accident,Reciprocating
Cessna,177,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Descent,Accident,Reciprocating
Cessna,182M,Fatal(2),Destroyed,0.0,2.0,0.0,UNK,Cruise,Accident,Reciprocating
Cessna,152II,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Descent,Accident,Reciprocating
Cessna,A188B,Non-Fatal,Destroyed,1.0,0.0,0.0,VMC,Maneuvering,Accident,Reciprocating
Piper,PA-28-140,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,172N,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Taxi,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Bellanca,7GCBC,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Hughes,369D,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Cruise,Accident,Turbo Shaft
Bell,UH1B,Fatal(1),Destroyed,0.0,1.0,0.0,VMC,Maneuvering,Accident,Turbo Shaft
Cessna,152,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,172N,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Taxi,Accident,Reciprocating
Piper,PA-38-112,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Approach,Accident,Reciprocating
Piper,28-151,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Cruise,Accident,Reciprocating
Cessna,340A,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Cessna,172H,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Approach,Accident,Reciprocating
Mooney,M20C,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,A185F,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Piper,PA-32-260,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Approach,Accident,Reciprocating
Cessna,172N,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Cruise,Accident,Reciprocating
Cessna,150,Fatal(1),Destroyed,0.0,1.0,0.0,VMC,Maneuvering,Accident,Reciprocating
Cessna,172,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Maneuvering,Accident,Reciprocating
Piper,PA-28R-201T,Incident,Minor,0.0,0.0,1.0,VMC,Landing,Incident,Reciprocating
Mooney,M20J,Non-Fatal,Destroyed,0.0,0.0,4.0,VMC,Climb,Accident,Reciprocating
Cessna,TR182,Fatal(1),Substantial,0.0,1.0,0.0,VMC,Takeoff,Accident,Reciprocating
Cessna,177B,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Cruise,Accident,Reciprocating
Cessna,172,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Landing,Accident,Reciprocating
Cessna,140,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Cessna,172,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,182L,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,172N,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Landing,Accident,Reciprocating
Cessna,172P,Non-Fatal,Substantial,0.0,0.0,3.0,IMC,Landing,Accident,Reciprocating
Piper,PA-22,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Cessna,150L,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Approach,Accident,Reciprocating
Beech,36,Non-Fatal,Substantial,1.0,0.0,1.0,IMC,Cruise,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Landing,Accident,Reciprocating
Piper,PA-28-161,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Approach,Accident,Reciprocating
Cessna,180K,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Landing,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Piper,PA-22,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Beech,99,Non-Fatal,Destroyed,5.0,0.0,0.0,IMC,Approach,Accident,Turbo Prop
Cessna,172,Non-Fatal,Destroyed,1.0,0.0,0.0,VMC,Takeoff,Accident,Reciprocating
Cessna,182,Fatal(2),Destroyed,0.0,2.0,0.0,IMC,Maneuvering,Accident,Reciprocating
Bellanca,7ECA,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Cessna,TR182,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,P206,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Landing,Accident,Reciprocating
Grumman,1159,Non-Fatal,Substantial,0.0,0.0,4.0,VMC,Landing,Accident,Turbo Jet
Piper,PA-32,Non-Fatal,Substantial,1.0,0.0,0.0,IMC,Cruise,Accident,Reciprocating
Piper,PA-23-250,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Approach,Accident,Reciprocating
Cessna,150G,Fatal(2),Destroyed,0.0,2.0,0.0,VMC,Unknown,Accident,Reciprocating
Cessna,U206G,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,T210N,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Mooney,M20J,Fatal(1),Destroyed,0.0,1.0,0.0,VMC,Climb,Accident,Reciprocating
Cessna,150J,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Maneuvering,Accident,Reciprocating
Bell,206L-1,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Cruise,Accident,Turbo Shaft
Bellanca,7KCAB,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Bell,206L-1,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Turbo Shaft
Piper,PA-28,Fatal(2),Destroyed,0.0,2.0,0.0,VMC,Cruise,Accident,Reciprocating
Piper,PA-32R-300,Fatal(4),Destroyed,0.0,4.0,0.0,IMC,Cruise,Accident,Reciprocating
Piper,PA-28-140,Non-Fatal,Substantial,1.0,0.0,0.0,VMC,Takeoff,Accident,Reciprocating
Cessna,T210L,Non-Fatal,Substantial,1.0,0.0,0.0,VMC,Climb,Accident,Reciprocating
Boeing,A75N1,Non-Fatal,Minor,0.0,0.0,3.0,VMC,Taxi,Accident,Reciprocating
Piper,PA-31,Non-Fatal,Destroyed,2.0,0.0,0.0,IMC,Unknown,Accident,Reciprocating
Bellanca,7KCAB,Non-Fatal,Minor,0.0,0.0,3.0,VMC,Standing,Accident,Reciprocating
Piper,PA-28-140,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,180,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Taxi,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Piper,PA-28-181,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Takeoff,Accident,Reciprocating
Cessna,182H,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,150,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Landing,Accident,Reciprocating
Piper,PA-24-180,Fatal(8),Destroyed,0.0,8.0,0.0,VMC,Cruise,Accident,Reciprocating
Cessna,182B,Fatal(8),Destroyed,0.0,8.0,0.0,VMC,Cruise,Accident,Reciprocating
Piper,PA-28-140,Non-Fatal,Destroyed,4.0,0.0,0.0,VMC,Landing,Accident,Reciprocating
Cessna,P210N,Fatal(4),Destroyed,0.0,4.0,0.0,IMC,Cruise,Accident,Reciprocating
Piper,PA-28-180,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,172N,Non-Fatal,Substantial,0.0,0.0,5.0,VMC,Landing,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Piper,PA-38,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Cessna,177RG,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Taxi,Accident,Reciprocating
Cessna,172,Non-Fatal,Substantial,0.0,0.0,4.0,VMC,Landing,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Cruise,Accident,Reciprocating
Cessna,172,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,172N,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Cruise,Accident,Reciprocating
Cessna,C-172,Non-Fatal,Destroyed,0.0,0.0,0.0,VMC,Climb,Accident,Reciprocating
Piper,PA-18A-150,Fatal(1),Substantial,0.0,1.0,0.0,VMC,Takeoff,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Piper,PA-28R-201,Non-Fatal,Substantial,0.0,0.0,3.0,IMC,Landing,Accident,Reciprocating
Piper,PA-28-161,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Landing,Accident,Reciprocating
Cessna,182P,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Approach,Accident,Reciprocating
Cessna,140,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Beech,C-23,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Piper,PA-38-112,Non-Fatal,Destroyed,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Beech,V35A,Fatal(1),Destroyed,0.0,1.0,0.0,VMC,Maneuvering,Accident,Reciprocating
Cessna,310R,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Cessna,172,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,402B,Non-Fatal,Substantial,0.0,0.0,1.0,IMC,Go-around,Accident,Reciprocating
Cessna,185,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Taxi,Accident,Reciprocating
Cessna,310,Non-Fatal,Destroyed,2.0,0.0,0.0,VMC,Approach,Accident,Reciprocating
Beech,95-C55,Fatal(2),Destroyed,0.0,2.0,0.0,IMC,Cruise,Accident,Reciprocating
Cessna,172K,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Approach,Accident,Reciprocating
Cessna,421B,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,401,Non-Fatal,Substantial,0.0,0.0,5.0,VMC,Cruise,Accident,Reciprocating
Cessna,421,Fatal(2),Destroyed,0.0,2.0,0.0,IMC,Cruise,Accident,Reciprocating
Grumman,G-164B,Non-Fatal,Destroyed,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Piper,PA-24-250,Non-Fatal,Destroyed,4.0,0.0,0.0,VMC,Cruise,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Landing,Accident,Reciprocating
Cessna,172K,Fatal(4),Destroyed,0.0,4.0,0.0,IMC,Cruise,Accident,Reciprocating
Piper,PA-34,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Cruise,Accident,Reciprocating
Beech,J35,Fatal(4),Destroyed,0.0,4.0,0.0,VMC,Cruise,Accident,Reciprocating
Cessna,150,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Taxi,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,172,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Piper,PA-18,Non-Fatal,Substantial,0.0,0.0,1.0,UNK,Unknown,Accident,Reciprocating
Cessna,150,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Cruise,Accident,Reciprocating
Bell,214B-1,Fatal(1),Destroyed,1.0,1.0,0.0,VMC,Other,Accident,Turbo Shaft
Cessna,150,Non-Fatal,Destroyed,2.0,0.0,0.0,VMC,Descent,Accident,Reciprocating
Cessna,152,Non-Fatal,Destroyed,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Bellanca,17-30A,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Approach,Accident,Reciprocating
Cessna,150,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Piper,PA-28-140,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Piper,PA-38-112,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Approach,Accident,Reciprocating
Piper,PA-28-161,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Landing,Accident,Reciprocating
Cessna,172N,Non-Fatal,Substantial,0.0,0.0,4.0,VMC,Landing,Accident,Reciprocating
Piper,PA-28-161,Non-Fatal,Substantial,0.0,0.0,4.0,VMC,Landing,Accident,Reciprocating
Boeing,B737-2H4,Incident,Minor,0.0,0.0,119.0,IMC,Approach,Incident,Turbo Jet
